Customer ID,Frequency,Monetary,AvgOrderValue,TotalItems,UniqueProducts,LastPurchaseDays,Churn
12346,11,372.86,11.298787878787879,70,26,186,0
12347,2,2035.1100000000001,19.952058823529413,1147,70,24,0
12348,2,1114.96,30.134054054054054,1627,21,15,0
12349,3,2671.14,26.18764705882353,993,90,64,0
12351,1,300.93,14.33,261,21,32,1
12352,2,343.8,19.1,188,18,32,0
12353,1,317.76,15.888,192,20,65,0
12355,1,488.21000000000004,22.191363636363636,303,22,224,0
12356,3,3562.25,42.407738095238095,1826,68,37,0
12357,2,12079.99,73.2120606060606,3879,165,45,0
12358,3,2719.01,46.879482758620696,831,52,32,0
12359,6,2563.36,21.90905982905983,1130,110,82,0
12360,5,1590.83,18.077613636363637,1294,74,36,0
12361,3,321.35,16.913157894736845,144,14,119,0
12362,1,130.0,130.0,1,1,395,0
12366,1,500.24,166.74666666666667,296,3,290,1
12368,1,917.7,50.983333333333334,330,18,285,1
12369,3,1791.15,19.25967741935484,1241,90,70,1
12370,5,2642.64,20.973333333333333,1220,115,14,0
12371,3,2179.42,20.95596153846154,845,91,66,0
12373,2,763.0500000000001,20.622972972972974,319,31,281,0
12374,3,2246.29,44.9258,1020,47,78,0
12376,2,503.15,38.70384615384615,240,11,46,1
12377,3,2799.7200000000003,23.726440677966103,1765,107,11,0
12378,1,1407.7,17.167073170731708,787,82,219,0
12379,2,767.98,18.73121951219512,408,37,79,0
12380,7,6951.49,40.18202312138728,2228,119,122,0
12383,1,600.72,16.235675675675676,754,37,9,0
12385,1,1938.4,29.821538461538463,612,65,36,1
12386,1,517.8000000000001,32.362500000000004,428,8,23,0
12387,1,143.94,15.993333333333332,134,9,72,1
12388,2,1120.45,24.357608695652175,539,36,102,0
12389,3,1433.33,29.251632653061222,614,41,59,1
12391,5,2312.53,12.776408839779007,920,159,121,0
12392,1,234.75000000000003,33.53571428571429,73,7,248,1
12393,2,816.85,18.996511627906976,495,38,39,0
12395,5,2728.56,21.151627906976742,2368,94,14,0
12396,1,931.4300000000001,14.329692307692309,591,65,331,1
12399,3,853.65,16.738235294117647,1020,40,42,0
12400,1,205.25,18.65909090909091,91,11,71,1
12402,5,1031.3,17.47966101694915,490,40,49,0
12403,1,591.6600000000001,147.91500000000002,164,4,178,0
